course,DFWINC,daysregb4classstart,numaddlcourses,YearsofCollege,is_repeating_course,workingfulltime
MIS100,0,85,2,2,0,0
MIS100,0,12,5,2,0,0
MIS100,0,75,5,2,0,0
MIS100,0,126,5,2,0,0
MIS100,0,136,5,2,0,0
MIS100,0,98,5,2,0,0
MIS100,0,61,9,2,0,0
MIS100,0,0,0,2,0,0
MIS100,0,5,0,2,0,0
MIS100,0,2,0,2,0,0
MIS100,0,62,1,2,0,0
MIS100,0,34,2,2,0,0
MIS100,0,82,2,2,0,0
MIS100,0,55,4,2,0,0
MIS100,0,81,4,2,0,0
MIS100,0,59,5,2,0,0
MIS100,0,72,5,2,0,0
MIS100,0,81,5,2,0,0
MIS100,0,68,5,2,0,0
MIS100,0,5,0,2,0,0
MIS100,0,68,2,2,0,0
MIS100,0,19,2,2,0,0
MIS100,0,30,2,2,0,0
MIS100,0,112,4,2,0,0
MIS100,0,35,5,2,0,0
MIS100,0,136,5,2,0,0
MIS100,0,35,5,2,0,0
MIS100,0,62,5,2,0,0
MIS100,0,76,8,2,0,0
MIS100,0,90,0,2,0,0
MIS100,0,90,0,2,0,0
MIS100,0,80,4,2,0,0
MIS100,0,70,5,2,0,0
MIS100,0,68,5,2,0,0
MIS100,0,31,5,2,0,0
MIS100,0,49,8,2,0,0
MIS100,0,84,8,2,0,0
MIS100,0,66,10,2,0,0
MIS100,0,33,1,2,0,0
MIS100,0,47,3,2,0,0
MIS100,0,128,8,2,0,0
MIS100,0,128,8,2,0,0
MIS100,0,78,4,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,9,1,2,0,0
MIS100,0,1,1,3,0,0
MIS100,0,23,3,2,0,0
MIS100,0,47,3,2,0,0
MIS100,0,135,3,2,0,0
MIS100,0,76,3,2,0,0
MIS100,0,87,3,2,0,0
MIS100,0,19,3,1,0,0
MIS100,0,21,3,2,0,0
MIS100,0,19,3,2,0,0
MIS100,0,51,0,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,38,2,3,0,0
MIS100,0,21,2,2,0,0
MIS100,0,38,2,2,0,0
MIS100,0,0,2,3,0,0
MIS100,0,7,2,2,0,0
MIS100,0,81,3,2,0,0
MIS100,0,6,3,2,0,0
MIS100,0,52,5,2,0,0
MIS100,0,150,5,2,0,0
MIS100,0,64,5,2,0,0
MIS100,0,3,1,2,0,0
MIS100,0,68,2,2,0,0
MIS100,0,35,2,2,0,0
MIS100,0,2,2,2,0,0
MIS100,0,68,2,2,0,0
MIS100,0,72,3,3,0,0
MIS100,0,77,3,2,0,0
MIS100,0,31,4,2,0,0
MIS100,0,93,4,2,0,0
MIS100,0,31,4,2,0,0
MIS100,0,89,5,3,0,0
MIS100,0,65,5,2,0,0
MIS100,0,89,5,2,0,0
MIS100,0,26,5,2,0,0
MIS100,0,75,5,2,0,0
MIS100,0,84,10,2,0,0
MIS100,0,37,0,1,0,0
MIS100,0,37,0,1,0,0
MIS100,0,37,0,1,0,0
MIS100,0,37,0,1,0,0
MIS100,0,0,0,2,0,0
MIS100,0,37,0,1,0,0
MIS100,0,37,0,1,0,0
MIS100,0,2,0,2,0,0
MIS100,0,95,5,2,0,0
MIS100,0,58,4,2,0,0
MIS100,0,96,5,2,0,0
MIS100,0,125,5,2,0,0
MIS100,0,80,5,2,0,0
MIS100,0,74,5,2,0,0
MIS100,0,79,5,2,0,0
MIS100,0,80,5,2,0,0
MIS100,0,13,1,2,0,0
MIS100,0,13,3,2,0,0
MIS100,0,57,5,2,0,0
MIS100,0,74,5,2,0,0
MIS100,0,126,5,2,0,0
MIS100,0,126,5,2,0,0
MIS100,0,126,5,2,0,0
MIS100,0,68,5,3,0,0
MIS100,0,57,5,2,0,0
MIS100,0,10,5,2,0,0
MIS100,0,92,8,2,0,0
MIS100,0,92,8,2,0,0
MIS100,0,33,0,3,0,0
MIS100,0,1,1,3,0,0
MIS100,0,91,4,2,0,0
MIS100,0,16,4,2,0,0
MIS100,0,128,4,2,0,0
MIS100,0,61,4,3,0,0
MIS100,0,98,7,2,0,0
MIS100,0,138,7,2,0,0
MIS100,0,10,0,2,0,0
MIS100,0,10,0,2,0,0
MIS100,0,0,1,1,0,0
MIS100,0,65,3,2,0,0
MIS100,0,64,4,3,0,0
MIS100,0,80,7,2,0,0
MIS100,0,40,3,2,0,0
MIS100,0,102,2,2,0,0
MIS100,0,16,2,2,0,0
MIS100,0,24,2,2,0,0
MIS100,0,24,2,2,0,0
MIS100,0,16,2,2,0,0
MIS100,0,50,3,2,0,0
MIS100,0,76,3,2,0,0
MIS100,0,112,3,2,0,0
MIS100,0,16,3,2,0,0
MIS100,0,51,4,2,0,0
MIS100,0,13,4,2,0,0
MIS100,0,32,4,2,0,0
MIS100,0,51,4,3,0,0
MIS100,0,65,5,2,0,0
MIS100,0,35,5,3,0,0
MIS100,0,37,5,2,0,0
MIS100,0,35,5,2,0,0
MIS100,0,71,7,2,0,0
MIS100,0,77,7,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,54,4,2,0,0
